course,file,ext,w,h,ratio,verdict,note
AY101_-_University_of_Alabama,44_lecture23_041426.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,45_lecture23_041426.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,46_lecture24_041626.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,47_lecture24_041626.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,48_lecture25_042126.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,49_lecture25_042126.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,4_lecture2_011326.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,50_lecture26_042326.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,51_lecture26_042326.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,5_lecture3_011526.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,6_lecture3_011526.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,7_lecture4_012026.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,8_lecture4_012026.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,9_lecture5_012226.pdf,.pdf,792,612,1.2941,slide,
BBIO365_-_University_of_Washington,1_lec01.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,2_lec02.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,3_lec03.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,4_lec04.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,5_lec05.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,6_lec06.ppt,.ppt,960,720,1.3333,slide,
BBIO365_-_University_of_Washington,7_lec07_04.ppt,.ppt,960,720,1.3333,slide,
BCEM551_-_University_of_Calgary,10_Chapter5-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,11_Chapter6-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,12_Chapter6-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,13_Chapter7-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,14_Chapter7-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,15_HTTP-TCP.pdf,.pdf,720,540,1.3333,slide,
BCEM551_-_University_of_Calgary,16_HTTP-TCP.pptx,.pptx,960,720,1.3333,slide,
BCEM551_-_University_of_Calgary,17_Highlights-v1.pdf,.pdf,720,540,1.3333,slide,
BCEM551_-_University_of_Calgary,18_Intro441.pdf,.pdf,720,540,1.3333,slide,
BCEM551_-_University_of_Calgary,19_Intro441.ppt,.ppt,960,720,1.3333,slide,
BCEM551_-_University_of_Calgary,1_Chapter1-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,20_NetworkBasics.pdf,.pdf,720,540,1.3333,slide,
BCEM551_-_University_of_Calgary,21_NetworkBasics.pptx,.pptx,960,720,1.3333,slide,
BCEM551_-_University_of_Calgary,23_tcptrace-annotated.pdf,.pdf,612,792,0.7727,document,
BCEM551_-_University_of_Calgary,2_Chapter1-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,3_Chapter2-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,4_Chapter2-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,5_Chapter3-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,6_Chapter3-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,7_Chapter4-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM551_-_University_of_Calgary,8_Chapter4-v8.pptx,.pptx,1280,720,1.7778,slide,
BCEM551_-_University_of_Calgary,9_Chapter5-v8.pdf,.pdf,960,540,1.7778,slide,
BCEM575_-_University_of_Calgary,10_ch5.ppt,.ppt,960,720,1.3333,slide,
BCEM575_-_University_of_Calgary,11_ch6.pdf,.pdf,718,538,1.3346,slide,
BCEM575_-_University_of_Calgary,12_ch6.ppt,.ppt,960,720,1.3333,slide,
