folder,course_college,course_code,college_name,course_date,within3,instructor,rmp_matched_name,rmp_status,rmp_profile_url,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,rmp_num_reviews_in_file
54,"CS64 - University of California, Santa Barbara",CS64,"University of California, Santa Barbara",2018,14,Ziad Matni,Ziad Matni,found,https://www.ratemyprofessors.com/professor/2178071,16,3.12,2.62,56.2,4.1,3.0,126,16
55,COSC175 - Towson University,COSC175,Towson University,2016,26,Blair Taylor,Blair Taylor,found,https://www.ratemyprofessors.com/professor/43197,85,4.25,2.67,7.1,4.2,2.8,161,85
56,CSC180 - University of Toronto,CSC180,University of Toronto,2016,9,Michael Guerzhoy,Michael Guerzhoy,found,https://www.ratemyprofessors.com/professor/2051735,11,4.91,2.73,72.7,3.8,3.0,59,11
57,CSE215 - Stony Brook University,CSE215,Stony Brook University,2016,33,Paul Fodor,Paul Fodor,found,https://www.ratemyprofessors.com/professor/1614881,41,4.88,2.54,12.2,4.8,2.9,339,41
58,CHE220 - Penn State University,CHE220,Penn State University,2015,10,Themis Matsoukas,Themis Matsoukas,found,https://www.ratemyprofessors.com/professor/840447,13,4.38,3.08,30.8,4.1,3.0,39,13
59,ENSC251 - Simon Fraser University,ENSC251,Simon Fraser University,2015,11,Lesley Shannon,Lesley Shannon,found,https://www.ratemyprofessors.com/professor/1090468,11,1.55,4.64,0.0,2.5,3.7,36,11
60,COMP557 - McGill University,COMP557,McGill University,2015,4,Michael Langer,Michael Langer,found,https://www.ratemyprofessors.com/professor/187694,8,4.12,3.88,0.0,3.9,3.4,89,8
61,ITI1120 - University of Ottawa,ITI1120,University of Ottawa,2014,9,Diana Inkpen,Diana Inkpen,found,https://www.ratemyprofessors.com/professor/596070,15,3.07,2.27,0.0,3.2,2.4,58,15
62,BNFO135 - New Jersey Institute of Technology,BNFO135,New Jersey Institute of Technology,2012,4,Usman Roshan,Usman Roshan,found,https://www.ratemyprofessors.com/professor/648433,4,4.25,3.25,0.0,2.4,3.7,37,4
63,CISC1600 - Brooklyn College,CISC1600,Brooklyn College,2012,7,Matthew Meyer,Matthew Meyer,found,https://www.ratemyprofessors.com/professor/954877,7,4.71,2.71,0.0,4.6,2.7,15,7
