category	course_college	url	reason
good	CS0170 - Brown University	https://cs.brown.edu/courses/cs017/content/slides/01welcome-slides.pdf	
good	CS316 - Duke University	https://sites.duke.edu/compsci_316d_001_f25/	
good	CS449 - University of Pittsburgh	https://cs0449.gitlab.io/fa2025/slides/01_CS449_Introduction.pdf	
good	CSC4480 - Villanova University	http://www.csc.villanova.edu/~enwafor/database/	
good	CSE11 - University of California, San Diego	https://cseweb.ucsd.edu/classes/sp25/cse11-a/	
good	CSE150 - Stony Brook University	https://www.seclab.cs.sunysb.edu/sekar/cse150/	
good	CSE252A - University of California, San Diego	https://cseweb.ucsd.edu/classes/fa25/cse252A-a/	
good	EC365 - Boston University	https://jamesfeigenbaum.github.io/lectures/ec365/slides_intro.pdf	
good	INFO4940 - Cornell University	https://info4940.infosci.cornell.edu/	
good	AY101 - University of Alabama	https://pages.astronomy.ua.edu/jairwin/AY101/AY101.html	
good	COSC6335 - University of Houston	https://www2.cs.uh.edu/~ceick/DM/DM.html	
good	CS15122 - Carnegie Mellon University	https://www.cs.cmu.edu/~15122/handouts.shtml	
good	CS167 - Drake University	https://analytics.drake.edu/~reza/teaching/cs167_sp26/lecture_slides/	
good	CS2110 - Cornell University	https://www.cs.cornell.edu/courses/cs2110/2026sp/	
good	CS5800 - Northeastern University	https://www.khoury.northeastern.edu/home/vip/teach/Algorithms/html/aboutcs5800_mod.html	
good	CSE114 - Stony Brook University	https://www3.cs.stonybrook.edu/~pfodor/courses/cse114.html	
good	CSE303 - Stony Brook University	https://www3.cs.stonybrook.edu/~cse303/	
good	ECE177 - University of Maine	https://web.eece.maine.edu/~vweaver/classes/ece177_2026s/	
good	CSC111L - Quinnipiac University	https://plantarc.github.io/csslides/csc111.html	
good	CSE328 - Stony Brook University	https://www3.cs.stonybrook.edu/~cse328/lecture_notes.html	
good	MAT243 - Arizona State University	https://math.asu.edu/mat243	
noslides	AEM250 - University of Alabama	http://mbarkey.eng.ua.edu/courses/AEM250/AEM250.htm	handwritten notes on pdfs
noslides	AI534 - Oregon State University	https://web.engr.oregonstate.edu/~huanlian/teaching/ML/2024fall/	html, no slides
noslides	AMAT502 - University at Albany	https://amat502.github.io/	no slides
noslides	ASTR1010K - Georgia State University	https://chara.gsu.edu/~crenshaw/astr1010.html	multipaged ppts
noslides	ASTR122 - University of Oregon	https://pages.uoregon.edu/jimbrau/astr122/Notes/Intro.html	html file - no slides
noslides	ASTR391 - University of Kansas	https://crossfield.ku.edu/A391_2025B/	notes, not slides
noslides	ASTRO001 - Penn State University	https://personal.science.psu.edu/wnb3/astro1/astro1.html	html file - no slides
noslides	ASTRO001V - Penn State University	https://personal.science.psu.edu/wnb3/astro1/astro1.html	same link
noslides	ASTRO497 - Penn State University	https://psuastro497.github.io/Fall2022/lessons/	no slides, only labs
noslides	C1045 - Florida International University	https://faculty.fiu.edu/~gravesp/1045%20help.html	
noslides	CALC1190 - Kennesaw State University	https://facultyweb.kennesaw.edu/ykang4/math1190.php	
noslides	CALC1431 - University of Houston	https://www.math.uh.edu/~jmorgan/Math1431/	multipaged ppts
noslides	CALC1432 - University of Houston	https://www.math.uh.edu/~jmorgan/Math1432/	multipaged ppts
noslides	CALC21 - Lehigh University	https://www.lehigh.edu/~dlj0/courses/online-21/content/Contents.html	html, no slides
noslides	CEE313 - University of Dayton	https://ecommons.udayton.edu/cee_hydraulics/	notes, not slides
noslides	CH310N - University of Texas at Austin	http://anslyn.cm.utexas.edu/courses/ch310n/Site/Welcome.html	handwritten notes on pdfs
noslides	CIS200 - Kansas State University	https://textbooks.cs.ksu.edu/cis200/	html, no slides
noslides	CIS55 - Temple University	https://cis.temple.edu/~pwang/5511-PT/5511-index.htm	html file - no slides
noslides	CMPSC111 - University of California, Santa Barbara	https://github.com/ucsb-cs111/w20-lecture-files/tree/master/lecture_files	notes
noslides	CMPT308 - Simon Fraser University	http://www.sfu.ca/~kabanets/308/	handwritten notes on pdfs
noslides	CMPT363 - Simon Fraser University	http://www.sfu.ca/~htsang/cmpt363/	not found
noslides	CMPT373 - Simon Fraser University	https://www2.cs.sfu.ca/~wsumner/teaching/373/25/schedule.html	html
noslides	CMPT383 - Simon Fraser University	https://coursys.sfu.ca/2025su-cmpt-383-d1/pages/	no
noslides	CMSC131 - University of Maryland	https://www.cs.umd.edu/class/summer2024/cmsc131/index.shtml	unaccessible
noslides	CMSC132 - University of Maryland	https://www.cs.umd.edu/class/spring2025/cmsc132-010X-020X/index.shtml	unaccessible
noslides	COEN250 - Santa Clara University	https://github.com/mySCU/COEN250	no
