course_college	course_code	num_ratings	link
COMP3500 - Auburn University	COMP3500	115	https://github.com/kmoreland126/COMP-3500
CS0170 - Brown University	CS0170	4	https://cs.brown.edu/courses/cs017/content/slides/01welcome-slides.pdf
CS449 - University of Pittsburgh	CS449	67	https://cs0449.gitlab.io/fa2025/slides/01_CS449_Introduction.pdf
CSC4480 - Villanova University	CSC4480	6	http://www.csc.villanova.edu/~enwafor/database/
EC365 - Boston University	EC365	19	https://jamesfeigenbaum.github.io/lectures/ec365/slides_intro.pdf
INFO4940 - Cornell University	INFO4940	9	https://info4940.infosci.cornell.edu/
AY101 - University of Alabama	AY101	12	https://pages.astronomy.ua.edu/jairwin/AY101/AY101.html
COSC6335 - University of Houston	COSC6335	5	https://www2.cs.uh.edu/~ceick/DM/DM.html
CS5800 - Northeastern University	CS5800	31	https://www.khoury.northeastern.edu/home/vip/teach/Algorithms/html/aboutcs5800_mod.html
CSE303 - Stony Brook University	CSE303	17	https://www3.cs.stonybrook.edu/~cse303/
ECE177 - University of Maine	ECE177	5	https://web.eece.maine.edu/~vweaver/classes/ece177_2026s/
CSC111L - Quinnipiac University	CSC111L	6	https://plantarc.github.io/csslides/csc111.html
MAT243 - Arizona State University	MAT243	59	https://math.asu.edu/mat243
