Professors to fetch: 300 (already done: 0)
  [143/300] Mohammed Movassaghi (id=2332208) ... ok (1 ratings)
  [144/300] Roger Kamm (id=1290853) ... ok (2 ratings)
  [145/300] Jeff Colner (id=1738924) ... ok (2 ratings)
  [146/300] Joel Voldman (id=121246) ... ok (3 ratings)
  [147/300] William Hunting (id=2283278) ... ok (1 ratings)
  [148/300] Brian Subirana (id=936817) ... ok (3 ratings)
  [149/300] Yufei Zhao (id=2282381) ... ok (1 ratings)
  [150/300] Moungi Bawendi (id=144127) ... ok (7 ratings)
  [151/300] Patrick Winston (id=95059) ... ok (14 ratings)
  [152/300] Neil Gershenfeld (id=2143893) ... ok (1 ratings)
  [153/300] Neil Gerschenfeld (id=2268510) ... ok (1 ratings)
  [154/300] Robert Jaffe (id=562629) ... ok (6 ratings)
  [155/300] David Trumper (id=2260113) ... ok (1 ratings)
  [156/300] Nicolas Hadjiconstantinou (id=2260117) ... ok (1 ratings)
  [157/300] Jesus Alamo (id=121120) ... ok (9 ratings)
  [158/300] David Perreault (id=2256500) ... ok (1 ratings)
  [159/300] Jonathan Hersh (id=2179539) ... ok (1 ratings)
  [160/300] Christian Catalini (id=1834017) ... ok (4 ratings)
  [161/300] Enectali Feliciano (id=955581) ... ok (3 ratings)
  [162/300] Donca Steriade (id=893325) ... ok (6 ratings)
  [163/300] Tom Greytak (id=245687) ... ok (7 ratings)
  [164/300] Peter Fisher (id=144653) ... ok (5 ratings)
  [165/300] Saul Rappaport (id=345798) ... ok (4 ratings)
  [166/300] Wit Buzca (id=613976) ... ok (4 ratings)
  [167/300] Bruno Coppi (id=669311) ... ok (3 ratings)
  [168/300] George Apostolakis (id=712896) ... ok (9 ratings)
  [169/300] Stanley Kowalski (id=287926) ... ok (16 ratings)
  [170/300] Daniel Jackson (id=121166) ... ok (6 ratings)
  [171/300] Christopher Knittel (id=2239597) ... ok (1 ratings)
  [172/300] Krishna Rajagopal (id=1906467) ... ok (1 ratings)
  [173/300] Anant Agarwal (id=121092) ... ok (27 ratings)
  [174/300] Janet Schrenk (id=395136) ... ok (20 ratings)
  [175/300] Ralph Selig (id=1698694) ... ok (4 ratings)
  [176/300] Edward Crawley (id=712895) ... ok (7 ratings)
  [177/300] Eduardo Kausel (id=2217518) ... ok (1 ratings)
  [178/300] L. Rafael Reif (id=121212) ... ok (3 ratings)
  [179/300] Graham Walker (id=799921) ... ok (9 ratings)
  [180/300] Stephen Ross (id=2160930) ... ok (1 ratings)
  [181/300] Gigliola Staffilani (id=649764) ... ok (6 ratings)
  [182/300] Robert Merton (id=1674905) ... ok (2 ratings)
  [183/300] Muhamet Yildiz (id=2158670) ... ok (1 ratings)
  [184/300] Daron Acemoglu (id=1823114) ... ok (5 ratings)
  [185/300] Charles Leiserson (id=1786471) ... ok (2 ratings)
  [186/300] Ben Brubaker (id=1259688) ... ok (3 ratings)
  [187/300] Jeremy Wolfe (id=433652) ... ok (12 ratings)
  [188/300] Eric Hudson (id=186507) ... ok (15 ratings)
  [189/300] Abhijit Banerjee (id=304839) ... ok (2 ratings)
  [190/300] Jean Jackson (id=1014354) ... ok (2 ratings)
  [191/300] Carol Matsuzaki (id=1245553) ... ok (2 ratings)
  [192/300] Jolyon Bloomfield (id=1846490) ... ok (2 ratings)
  [193/300] Yury Polyanskiy (id=2016672) ... ok (1 ratings)
  [194/300] David Karger (id=2028848) ... ok (1 ratings)
  [195/300] Simon Johnson (id=2091321) ... ok (1 ratings)
  [196/300] Matthew Shoulders (id=2080401) ... ok (1 ratings)
  [197/300] Troy Van Voorhis (id=2080416) ... ok (1 ratings)
  [198/300] Min Chen (id=812008) ... ok (2 ratings)
  [199/300] David Pesetsky (id=1886130) ... ok (1 ratings)
  [200/300] Hiromi Ozaki (id=2044492) ... ok (1 ratings)
  [201/300] Yoshimi Nagaya (id=640341) ... ok (2 ratings)
  [202/300] Rodney Brooks (id=121107) ... ok (5 ratings)
  [203/300] Julie Greenberg (id=2028849) ... ok (1 ratings)
  [204/300] Igor Pak (id=702502) ... ok (3 ratings)
  [205/300] Christopher Weaver (id=1419469) ... ok (15 ratings)
  [206/300] Clark Colton (id=21107) ... ok (5 ratings)
  [207/300] Richard Shrock (id=312515) ... ok (6 ratings)
  [208/300] Ethan Zuckerman (id=1989043) ... ok (1 ratings)
  [209/300] Fred Harris (id=417691) ... ok (3 ratings)
  [210/300] Hazel Sive (id=1103018) ... ok (5 ratings)
  [211/300] Paul Gray (id=121148) ... ok (7 ratings)
  [212/300] Robert Miller (id=121194) ... ok (3 ratings)
  [213/300] Shigeru Miyagawa (id=837668) ... ok (2 ratings)
  [214/300] Keith Nelson (id=565297) ... ok (5 ratings)
  [215/300] Joseph Weber (id=1913299) ... ok (1 ratings)
  [216/300] Lucas Stanczyk (id=1906731) ... ok (1 ratings)
  [217/300] Elena Ruehr (id=798501) ... ok (3 ratings)
  [218/300] Theodore Postol (id=1477043) ... ok (2 ratings)
  [219/300] Junot Diaz (id=631540) ... ok (5 ratings)
  [220/300] Yasheng Huang (id=1834258) ... ok (1 ratings)
  [221/300] Timothy Swager (id=44544) ... ok (7 ratings)
  [222/300] Woodie Flowers (id=134587) ... ok (3 ratings)
  [223/300] Oral Buyukozturk (id=344295) ... ok (3 ratings)
  [224/300] Caspar Hare (id=619518) ... ok (4 ratings)
  [225/300] Tyler Jacks (id=1134538) ... ok (3 ratings)
  [226/300] John Ochsendorf (id=137140) ... ok (2 ratings)
  [227/300] Michael Cima (id=1668985) ... ok (2 ratings)
  [228/300] George Barbastathis (id=240949) ... ok (4 ratings)
  [229/300] William Donaldson (id=1771644) ... ok (1 ratings)
  [230/300] Ahmed Ghoniem (id=133620) ... ok (0 ratings)
  [231/300] Radha Kalluri (id=939877) ... ok (0 ratings)
  [232/300] Eric Khatchadourian (id=1013300) ... ok (0 ratings)
  [233/300] Bernd Surrow (id=1025727) ... ok (4 ratings)
  [234/300] Daniel G. Nocera (id=352233) ... ok (4 ratings)
  [235/300] Pawan Sinha (id=677626) ... ok (3 ratings)
  [236/300] Dina Katabi (id=121172) ... ok (3 ratings)
  [237/300] Fernando Domeyko (id=765215) ... ok (2 ratings)
  [238/300] Derek Johnson (id=1195278) ... ok (1 ratings)
  [239/300] Eric Von Hippel (id=712903) ... ok (3 ratings)
  [240/300] Kenneth Stevens (id=121234) ... ok (2 ratings)
  [241/300] Dr. R. Brisdane Ford (id=1734181) ... ok (1 ratings)
  [242/300] Steven Ostrow (id=1718781) ... ok (1 ratings)
  [243/300] Rick L Danheiser (id=1134540) ... ok (3 ratings)
  [244/300] Gregory Fu (id=917821) ... ok (2 ratings)
  [245/300] David Miller (id=1609625) ... ok (1 ratings)
  [246/300] Elizabeth Wood (id=1687603) ... ok (1 ratings)
  [247/300] Sabine Iatridou (id=1627009) ... ok (1 ratings)
  [248/300] Alvin Kibel (id=141360) ... ok (5 ratings)
  [249/300] James McKernan (id=1668988) ... ok (1 ratings)
  [250/300] Sarah Woznica (id=1642324) ... ok (1 ratings)
  [251/300] Linda Griffith (id=855629) ... ok (4 ratings)
  [252/300] Peter Mueller (id=1626807) ... ok (1 ratings)
  [253/300] Mike Jones (id=1616995) ... ok (1 ratings)
  [254/300] Caroline Jones (id=1600097) ... ok (1 ratings)
  [255/300] Claudette Gardel (id=189050) ... ok (5 ratings)
  [256/300] Zoltan Spakovsky (id=667161) ... ok (3 ratings)
  [257/300] Richard Stanley (id=1040890) ... ok (2 ratings)
  [258/300] David Kaiser (id=1585498) ... ok (1 ratings)
  [259/300] Mark Drela (id=667163) ... ok (2 ratings)
  [260/300] David Benney (id=275416) ... ok (11 ratings)
  [261/300] Thomas Allen (id=141723) ... ok (3 ratings)
  [262/300] Paul Lagace (id=667174) ... ok (2 ratings)
  [263/300] Paul Schechter (id=1083753) ... ok (7 ratings)
  [264/300] Meriam Belli (id=889187) ... ok (1 ratings)
