Professors to fetch: 245 (already done: 189)
  [134/245] Wray Huestis (id=776354) ... ok (8 ratings)
  [135/245] Ian Hodder (id=961616) ... ok (1 ratings)
  [136/245] Taylor Holubar (id=1593471) ... ok (2 ratings)
  [137/245] George Fisher (id=852912) ... ok (3 ratings)
  [138/245] Colin Haysman (id=937037) ... ok (5 ratings)
  [139/245] Karol Berger (id=1480952) ... ok (0 ratings)
  [140/245] Derek Gurney (id=962109) ... ok (0 ratings)
  [141/245] Hongjie Dai (id=1347721) ... ok (2 ratings)
  [142/245] Cindy Wilber (id=1751367) ... ok (1 ratings)
  [143/245] Victoria Rodrigue (id=1662703) ... ok (1 ratings)
  [144/245] Jo Boaler (id=701848) ... ok (3 ratings)
  [145/245] John Felstiner (id=136982) ... ok (5 ratings)
  [146/245] Morris Fiorina (id=431574) ... ok (3 ratings)
  [147/245] Kelly Greenhill (id=885503) ... ok (2 ratings)
  [148/245] Laurea Hubbard (id=1068217) ... ok (1 ratings)
  [149/245] Laura Roman (id=651090) ... ok (10 ratings)
  [150/245] Miranda Kershaw (id=1742172) ... ok (1 ratings)
  [151/245] Paula Moya (id=802206) ... ok (3 ratings)
  [152/245] Teresa Lafromboise (id=627763) ... ok (5 ratings)
  [153/245] Tony Seba (id=1723545) ... ok (1 ratings)
  [154/245] Sebastian Thrun (id=1695084) ... ok (2 ratings)
  [155/245] John McCaskey (id=363648) ... ok (24 ratings)
  [156/245] Fu Kuo Chang (id=1256446) ... ok (7 ratings)
  [157/245] Vasile Stanescu (id=1648896) ... ok (1 ratings)
  [158/245] Pierre Khuri-Yakub (id=94610) ... ok (10 ratings)
  [159/245] Abbas El Gamal (id=236142) ... ok (7 ratings)
  [160/245] Channing Robertson (id=132743) ... ok (6 ratings)
  [161/245] Gregory Brumfiel (id=941585) ... ok (4 ratings)
  [162/245] Eric Bahuaud (id=1372758) ... ok (1 ratings)
  [163/245] Brian Ferneyhough (id=863735) ... ok (3 ratings)
  [164/245] . Cuellar (id=366965) ... ok (2 ratings)
  [165/245] Susan Olzak (id=131758) ... ok (10 ratings)
  [166/245] Brett Bourbon (id=463574) ... ok (8 ratings)
  [167/245] Nancy Buffington (id=512926) ... ok (7 ratings)
  [168/245] Kara Secret (id=1629710) ... ok (0 ratings)
  [169/245] Bill Aragon (id=1627733) ... ok (1 ratings)
  [170/245] Janine Reed (id=960394) ... ok (2 ratings)
  [171/245] Andy Rutten (id=671900) ... ok (7 ratings)
  [172/245] Philippe Buc (id=1009765) ... ok (2 ratings)
  [173/245] Chris Chafe (id=831877) ... ok (2 ratings)
  [174/245] Ed Carryer (id=1565658) ... ok (1 ratings)
  [175/245] Pavle Levi (id=815504) ... ok (5 ratings)
  [176/245] Nancy Zhang (id=1151974) ... ok (3 ratings)
  [177/245] Rush Rehm (id=542948) ... ok (4 ratings)
  [178/245] Alessandra McCarty (id=1547673) ... ok (1 ratings)
  [179/245] Scott Herdon (id=894764) ... ok (5 ratings)
  [180/245] Hamlin Allen (id=639073) ... ok (1 ratings)
  [181/245] Robert Plummer (id=203922) ... ok (12 ratings)
  [182/245] Stephen Palumbi (id=680912) ... ok (1 ratings)
  [183/245] Richard Ontiveros (id=1074826) ... ok (5 ratings)
  [184/245] Christopher Chidsey (id=1331292) ... ok (0 ratings)
  [185/245] Deborah Rhode (id=133752) ... ok (4 ratings)
  [186/245] Paul Brest (id=1147554) ... ok (2 ratings)
  [187/245] Norbert Lain (id=928912) ... ok (4 ratings)
  [188/245] Simon Brendle (id=1343227) ... ok (1 ratings)
  [189/245] John Bravman (id=137847) ... ok (5 ratings)
  [190/245] N Vanderkindren (id=1068225) ... ok (1 ratings)
  [191/245] Michael Ramscar (id=693288) ... ok (9 ratings)
  [192/245] Robyn Yilmaz (id=1168295) ... ok (2 ratings)
  [193/245] Hannah Sullivan (id=1310416) ... ok (1 ratings)
  [194/245] Ralph Castro (id=539234) ... ok (2 ratings)
  [195/245] Dan Stack (id=580291) ... ok (8 ratings)
  [196/245] Marjorie Ford (id=916688) ... ok (1 ratings)
  [197/245] Todor Milanov (id=946193) ... ok (2 ratings)
  [198/245] Robert Crews (id=971390) ... ok (2 ratings)
  [199/245] Dan Klein (id=1418276) ... ok (1 ratings)
  [200/245] Lisa Surwillo (id=997956) ... ok (3 ratings)
  [201/245] Jennifer Aaker (id=861228) ... ok (2 ratings)
  [202/245] Uta Francke (id=866404) ... ok (1 ratings)
  [203/245] Aprajit Mahajan (id=291531) ... ok (7 ratings)
  [204/245] Khalil Barhoum (id=774436) ... ok (3 ratings)
  [205/245] Kathleen Sullivan (id=1236287) ... ok (1 ratings)
  [206/245] Gautam Iyer (id=954909) ... ok (3 ratings)
  [207/245] Anthony Licata (id=1387045) ... ok (1 ratings)
  [208/245] Terry Karl (id=136843) ... ok (6 ratings)
  [209/245] Balaji Srinivasan (id=1067874) ... ok (2 ratings)
  [210/245] Douglas Osheroff (id=105632) ... ok (19 ratings)
  [211/245] Mark Jacobson (id=1172729) ... ok (1 ratings)
  [212/245] Julia Bleakney (id=1159931) ... ok (1 ratings)
  [213/245] Andrei Linde (id=1346600) ... ok (1 ratings)
  [214/245] Elizabeth Hadly (id=1180386) ... ok (1 ratings)
  [215/245] Ken Fields (id=136991) ... ok (7 ratings)
  [216/245] Gerry Gast (id=325262) ... ok (3 ratings)
  [217/245] Khalid Aziz (id=971290) ... ok (2 ratings)
  [218/245] Scott Bukatman (id=136817) ... ok (9 ratings)
  [219/245] Paul Goldstein (id=133736) ... ok (4 ratings)
  [220/245] Greg Walton (id=1180390) ... ok (1 ratings)
  [221/245] Susan Wyle (id=1230529) ... ok (1 ratings)
  [222/245] Benoit Monin (id=131769) ... ok (7 ratings)
  [223/245] Adrian Butscher (id=1057853) ... ok (4 ratings)
  [224/245] Gerald Dorfman (id=1100025) ... ok (2 ratings)
  [225/245] Michael Boskin (id=538811) ... ok (8 ratings)
  [226/245] Marina Marcos (id=1051007) ... ok (2 ratings)
  [227/245] Yoshiko Tomiyama (id=1343233) ... ok (1 ratings)
  [228/245] Jisha Menon (id=1984464) ... ok (1 ratings)
  [229/245] Ian Osband (id=1917846) ... ok (1 ratings)
  [230/245] Michael Chen (id=5050243) ... ok (0 ratings)
  [231/245] Alison Morantz (id=3117111) ... ok (0 ratings)
  [232/245] Royce Pont (id=2993436) ... ok (0 ratings)
  [233/245] Touria Bouhmedi (id=3141536) ... ok (0 ratings)
  [234/245] Kim Vogel (id=3024891) ... ok (0 ratings)
  [235/245] Erica Gould (id=3005176) ... ok (0 ratings)
  [236/245] Dan  Yamins (id=3673558) ... ok (0 ratings)
  [237/245] Geoffrey Cohen (id=3085438) ... ok (0 ratings)
  [238/245] Leslie Field (id=2883110) ... ok (0 ratings)
  [239/245] William Mitch (id=2867585) ... ok (0 ratings)
  [240/245] Valerie Soon (id=2805904) ... ok (0 ratings)
  [241/245] Laura Goode (id=2793793) ... ok (0 ratings)
  [242/245] Nancy Kollmann (id=2730211) ... ok (0 ratings)
  [243/245] Anatol Shemlev (id=2721272) ... ok (0 ratings)
  [244/245] Nelson Endebo (id=2719707) ... ok (0 ratings)
  [245/245] Eugyoung Han (id=2776574) ... ok (0 ratings)

Done.
professor_details rows : 434
professor_ratings rows : 2464
