course_code,course_title,category,term,instructor,rmp_name,department,quality,difficulty,num_ratings,would_take_again_pct,match_type,profile_url
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25sp,Brunelle,Nathan Brunelle,Computer Science,4.3,2.9,31,90.625,unique,https://www.ratemyprofessors.com/professor/2958916
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25su,Yin,Luoth Yin,Languages,5.0,1.5,2,100.0,unique,https://www.ratemyprofessors.com/professor/2645796
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25wi,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26sp,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26su,Vuong,,,,,,,not_found,
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE142,Computer Programming I,Introductory/Pre-Major,21au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE142,Computer Programming I,Introductory/Pre-Major,21su,Ibrahim,Habiba Ibrahim,English,3.4,3.5,23,71.4286,unique,https://www.ratemyprofessors.com/professor/1052379
CSE142,Computer Programming I,Introductory/Pre-Major,22sp,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE142,Computer Programming I,Introductory/Pre-Major,22su,Jojic,,,,,,,not_found,
CSE142,Computer Programming I,Introductory/Pre-Major,22wi,Champion,Kasey Champion,Computer Science,4.6,3.2,20,90.0,ambiguous,https://www.ratemyprofessors.com/professor/2380331
CSE142,Computer Programming I,Introductory/Pre-Major,22wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE143,Computer Programming II,Introductory/Pre-Major,23au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143,Computer Programming II,Introductory/Pre-Major,23sp,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143,Computer Programming II,Introductory/Pre-Major,24au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143,Computer Programming II,Introductory/Pre-Major,24sp,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143,Computer Programming II,Introductory/Pre-Major,25au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,12au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,13au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,15au,Blank,Adam Blank,Computer Science,4.5,3.6,49,85.7143,unique,https://www.ratemyprofessors.com/professor/1985117
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,15wi,Quinn,Kevin Quinn,Computer Science,4.5,2.9,13,50.0,cs-dept,https://www.ratemyprofessors.com/professor/1875502
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,16au,Moore,Jared Moore,Computer Science,4.5,2.5,4,100.0,ambiguous,https://www.ratemyprofessors.com/professor/1990968
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,17au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,18au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,19au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,20au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,21au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,23au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,24au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,25au,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE143X,Accelerated Computer Programming I/II,Introductory/Pre-Major,25wi,Reges,Stuart Reges,Computer Science,3.8,3.5,262,67.5,unique,https://www.ratemyprofessors.com/professor/498702
CSE154,Web Programming,Introductory/Pre-Major,22au,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
